DEP/REG/ANNEE/SUPER_PLOMBE/SUPER_SANS_PLOMB/GAZOLE/FOD/FOL/GNR/GPL/CARBUREACTEUR/SUPER_ETH_E85
92/11/2013/0.0/115965,4/247349.0/118803.0/4222.0/15486.0///
93/11/2013/0.0/104320,8/347013.0/26052.0/0.0/1380.0///
94/11/2013/0.0/114037/415366.0/109654.0/1529.0/27973.0///
95/11/2013/0.0/142893,3/538013.0/65167.0/1849.0/37711.0///
99/11/2013/0.0/1076658/3658892.0/566720.0/37518.0/260896.0/84633.0//
18/24/2013/0.0/36035,78/183768.0/44947.0/0.0/22343.0///
28/24/2013/0.0/55687,22/295662.0/47773.0/655.0/25458.0///
36/24/2013/0.0/26062,8/143273.0/30452.0/27.0/22010.0///
37/24/2013/0.0/72235,1/335377.0/61126.0/1312.0/45077.0///
41/24/2013/0.0/41684,94/201324.0/41154.0/1456.0/20614.0///
45/24/2013/0.0/81389,64/432239.0/276318.0/16243.0/147008.0///
99/24/2013/0.0/313095,5/1591643.0/501770.0/19693.0/282510.0/121601.0//
21/27/2013/0.0/67355,54/357098.0/76448.0/2474.0/44033.0///
25/27/2013/0.0/58070,76/328895.0/121265.0/5685.0/33665.0///
39/27/2013/0.0/30283,02/182516.0/49847.0/1253.0/14825.0///
58/27/2013/0.0/26821,3/112105.0/35594.0/1094.0/23521.0///
70/27/2013/0.0/21965,42/140541.0/42980.0/3056.0/15733.0///
71/27/2013/0.0/75275,76/422119.0/86422.0/16753.0/44148.0///
89/27/2013/0.0/47559,06/244759.0/37649.0/825.0/25236.0///
90/27/2013/0.0/13195,68/59019.0/15420.0/1312.0/3248.0///
99/27/2013/0.0/340526,5/1847052.0/465625.0/32452.0/204409.0/119861.0//
14/28/2013/0.0/85589,88/416431.0/93277.0/4908.0/69104.0///
27/28/2013/0.0/65000,86/337661.0/50008.0/3797.0/26838.0///
50/28/2013/0.0/54313,04/297914.0/90959.0/18978.0/58109.0///
61/28/2013/0.0/26688,1/163162.0/51452.0/5048.0/30547.0///
76/28/2013/0.0/129758,3/699135.0/106385.0/43004.0/69920.0///
99/28/2013/0.0/361350,1/1914303.0/392081.0/75735.0/254518.0/139656.0//
2/32/2013/0.0/48615,78/304298.0/69116.0/5048.0/33055.0///
59/32/2013/0.0/194316,6/1054252.0/353365.0/13902.0/227998.0///
60/32/2013/0.0/79538,9/426669.0/68456.0/14040.0/41407.0///
